MIR_zone,YEAR,strat_cora
Carysfort North,2024,CFK04
Carysfort North,2024,CFK05
Carysfort North,2024,CFK07
Carysfort South,2024,CFK03
Carysfort South,2024,CFK04
Carysfort South,2024,CFK05
Carysfort South,2024,CFK07
Cheeca Rocks,2024,CFK02
Eastern Dry Rocks,2024,CFK04
Eastern Dry Rocks,2024,CFK05
Eastern Dry Rocks,2024,CFK06
Eastern Dry Rocks,2024,CFK07
Horseshoe,2024,CFK03
Looe,2024,CFK07
Looe,2024,CFK05
Looe,2024,CFK06
Newfound Harbor,2024,CFK01
Sombrero,2024,CFK05
Sombrero,2024,CFK06
Carysfort North,2022,CFK05
Carysfort North,2022,CFK07
Carysfort South,2022,CFK03
Carysfort South,2022,CFK06
Carysfort South,2022,CFK05
Carysfort South,2022,CFK07
Cheeca Rocks,2022,CFK02
Eastern Dry Rocks,2022,CFK05
Eastern Dry Rocks,2022,CFK07
Horseshoe,2022,CFK03
Looe,2022,CFK07
Looe,2022,CFK05
Looe,2022,CFK06
Newfound Harbor,2022,CFK01
Sombrero,2022,CFK05
Sombrero,2022,CFK06
Sombrero,2022,CFK07