COVER_CAT_CD,analysis_group,nstrat,n,wavp,se_wp,YEAR
ACR CERV,MIR_GRP,6,87,0.00271,0.00532,2022
ACR PALM,MIR_GRP,6,87,8.2e-4,0.00283,2022
AGA AGAR,MIR_GRP,6,87,0.00738,0.00955,2022
AGA HUMI,MIR_GRP,6,87,0,0,2022
AGA LAMA,MIR_GRP,6,87,0,0,2022
AGA SPE.,MIR_GRP,6,87,0,0,2022
BAR SUB.,MIR_GRP,6,87,0.05925,0.02987,2022
CLI SPE.,MIR_GRP,6,87,0.00211,0.00504,2022
COL NATA,MIR_GRP,6,87,0.00283,0.00512,2022
CYA SPE.,MIR_GRP,6,87,0.00198,0.0042,2022
DIC SPE.,MIR_GRP,6,87,0.15265,0.04126,2022
DIC STOK,MIR_GRP,6,87,3.2e-4,0.00177,2022
DIP LABY,MIR_GRP,6,87,9e-4,0.003,2022
DIP SPE.,MIR_GRP,6,87,0,0,2022
EUS FAST,MIR_GRP,6,87,2.9e-4,0.00328,2022
GOR ENCR,MIR_GRP,6,87,0.00665,0.00855,2022
GOR GORG,MIR_GRP,6,87,0.02482,0.01746,2022
HAL SPE.,MIR_GRP,6,87,0.05467,0.02408,2022
HEL CUCU,MIR_GRP,6,87,0,0,2022
ISO SINU,MIR_GRP,6,87,0,0,2022
LOB SPE.,MIR_GRP,6,87,0.00246,0.00479,2022
MAC CALC,MIR_GRP,6,87,0.00154,0.00454,2022
MAC FLES,MIR_GRP,6,87,0.01419,0.01156,2022
MAD DECA,MIR_GRP,6,87,0,0,2022
MAG SPE.,MIR_GRP,6,87,0,0,2022
MAN AREO,MIR_GRP,6,87,0,0,2022
MEA MEAN,MIR_GRP,6,87,0,0,2022
MIL SPE.,MIR_GRP,6,87,0.00976,0.00996,2022
MON CAVE,MIR_GRP,6,87,0.00411,0.00702,2022
MYC ALIC,MIR_GRP,6,87,0,0,2022
ORB ANCX,MIR_GRP,6,87,0,0,2022
ORB ANNU,MIR_GRP,6,87,0.01073,0.01053,2022
ORB FAVE,MIR_GRP,6,87,0.01516,0.01227,2022
ORB FRAN,MIR_GRP,6,87,0,0,2022
OTH CORA,MIR_GRP,6,87,0,0,2022
OTH SPE.,MIR_GRP,6,87,0.00592,0.00889,2022
PAL SPE.,MIR_GRP,6,87,0.03393,0.01806,2022
PEY SPE.,MIR_GRP,6,87,0.00111,0.00327,2022
POR ASTR,MIR_GRP,6,87,0.01784,0.01291,2022
POR DIVA,MIR_GRP,6,87,0,0,2022
POR PORI,MIR_GRP,6,87,0.00559,0.00938,2022
POR SPE.,MIR_GRP,6,87,0,0,2022
PSE CLIV,MIR_GRP,6,87,1e-4,9.6e-4,2022
PSE STRI,MIR_GRP,6,87,4.2e-4,0.00356,2022
RAM SPE.,MIR_GRP,6,87,0.00897,0.00937,2022
RHO CRUS,MIR_GRP,6,87,0.01706,0.01335,2022
SID RADI,MIR_GRP,6,87,9.4e-4,0.00304,2022
SID SIDE,MIR_GRP,6,87,0.01375,0.01267,2022
SOL BOUR,MIR_GRP,6,87,3.7e-4,0.00217,2022
SOL SPE.,MIR_GRP,6,87,0,0,2022
SPO OTHE,MIR_GRP,6,87,0.0116,0.01249,2022
STE INTE,MIR_GRP,6,87,0.00239,0.00564,2022
TUR FREE,MIR_GRP,6,87,0.36623,0.05496,2022
TUR SEDI,MIR_GRP,6,87,0.12951,0.04064,2022
ACR CERV,MIR_GRP,6,100,7e-5,6.1e-4,2024
ACR PALM,MIR_GRP,6,100,0,0,2024
AGA AGAR,MIR_GRP,6,100,3.2e-4,0.00188,2024
AGA HUMI,MIR_GRP,6,100,0,0,2024
AGA LAMA,MIR_GRP,6,100,0,0,2024
AGA SPE.,MIR_GRP,6,100,3.3e-4,0.00135,2024
BAR SUB.,MIR_GRP,6,100,0.10271,0.03116,2024
CLI SPE.,MIR_GRP,6,100,8.8e-4,0.00248,2024
COL NATA,MIR_GRP,6,100,6.8e-4,0.00254,2024
CYA SPE.,MIR_GRP,6,100,0.00485,0.00673,2024
DIC SPE.,MIR_GRP,6,100,0.08531,0.02926,2024
DIC STOK,MIR_GRP,6,100,0,0,2024
DIP LABY,MIR_GRP,6,100,4.5e-4,0.00227,2024
DIP SPE.,MIR_GRP,6,100,1.3e-4,0.00131,2024
EUS FAST,MIR_GRP,6,100,3e-4,0.00175,2024
GOR ENCR,MIR_GRP,6,100,0.0023,0.00519,2024
GOR GORG,MIR_GRP,6,100,0.02243,0.01486,2024
HAL SPE.,MIR_GRP,6,100,0.05444,0.02145,2024
HEL CUCU,MIR_GRP,6,100,0,0,2024
ISO SINU,MIR_GRP,6,100,0,0,2024
LOB SPE.,MIR_GRP,6,100,1e-4,9.6e-4,2024
MAC CALC,MIR_GRP,6,100,0.00248,0.00476,2024
MAC FLES,MIR_GRP,6,100,0.06115,0.02333,2024
MAD DECA,MIR_GRP,6,100,0,0,2024
MAG SPE.,MIR_GRP,6,100,0.00225,0.00457,2024
MAN AREO,MIR_GRP,6,100,0,0,2024
MEA MEAN,MIR_GRP,6,100,0,0,2024
MIL SPE.,MIR_GRP,6,100,0.00431,0.00669,2024
MON CAVE,MIR_GRP,6,100,0.00292,0.00544,2024
MYC ALIC,MIR_GRP,6,100,0,0,2024
ORB ANCX,MIR_GRP,6,100,0,0,2024
ORB ANNU,MIR_GRP,6,100,0.00221,0.00468,2024
ORB FAVE,MIR_GRP,6,100,0.00913,0.00907,2024
ORB FRAN,MIR_GRP,6,100,0,0,2024
OTH CORA,MIR_GRP,6,100,0,0,2024
OTH SPE.,MIR_GRP,6,100,7.8e-4,0.00279,2024
PAL SPE.,MIR_GRP,6,100,0.02266,0.01339,2024
PEY SPE.,MIR_GRP,6,100,0.01246,0.01052,2024
POR ASTR,MIR_GRP,6,100,0.00658,0.00737,2024
POR DIVA,MIR_GRP,6,100,0,0,2024
POR PORI,MIR_GRP,6,100,0.00131,0.0038,2024
POR SPE.,MIR_GRP,6,100,0,0,2024
PSE CLIV,MIR_GRP,6,100,0,0,2024
PSE STRI,MIR_GRP,6,100,0,0,2024
RAM SPE.,MIR_GRP,6,100,0.0103,0.00998,2024
RHO CRUS,MIR_GRP,6,100,0.04369,0.02022,2024
SID RADI,MIR_GRP,6,100,0.00169,0.00422,2024
SID SIDE,MIR_GRP,6,100,0.01881,0.01337,2024
SOL BOUR,MIR_GRP,6,100,1.1e-4,0.00108,2024
SOL SPE.,MIR_GRP,6,100,0,0,2024
SPO OTHE,MIR_GRP,6,100,0.0194,0.0145,2024
STE INTE,MIR_GRP,6,100,0.00101,0.00315,2024
TUR FREE,MIR_GRP,6,100,0.11617,0.03006,2024
TUR SEDI,MIR_GRP,6,100,0.38531,0.04754,2024
ACR CERV,NCRMP_GRP,6,66,0,0,2022
ACR PALM,NCRMP_GRP,6,66,0,0,2022
AGA AGAR,NCRMP_GRP,6,66,0.00109,0.0042,2022
AGA HUMI,NCRMP_GRP,6,66,0,0,2022
AGA LAMA,NCRMP_GRP,6,66,0,0,2022
AGA SPE.,NCRMP_GRP,6,66,1.5e-4,0.00159,2022
BAR SUB.,NCRMP_GRP,6,66,0.15641,0.05726,2022
CLI SPE.,NCRMP_GRP,6,66,0.00178,0.00537,2022
COL NATA,NCRMP_GRP,6,66,1.4e-4,0.00139,2022
CYA SPE.,NCRMP_GRP,6,66,0.00318,0.00668,2022
DIC SPE.,NCRMP_GRP,6,66,0.1112,0.0441,2022
DIC STOK,NCRMP_GRP,6,66,4.2e-4,0.00253,2022
DIP LABY,NCRMP_GRP,6,66,0,0,2022
DIP SPE.,NCRMP_GRP,6,66,0,0,2022
EUS FAST,NCRMP_GRP,6,66,0,0,2022
GOR ENCR,NCRMP_GRP,6,66,0.01737,0.01591,2022
GOR GORG,NCRMP_GRP,6,66,0.0358,0.02927,2022
HAL SPE.,NCRMP_GRP,6,66,0.01212,0.01849,2022
HEL CUCU,NCRMP_GRP,6,66,1.4e-4,0.00139,2022
ISO SINU,NCRMP_GRP,6,66,1.4e-4,0.00139,2022
LOB SPE.,NCRMP_GRP,6,66,7e-5,5.3e-4,2022
MAC CALC,NCRMP_GRP,6,66,0.01959,0.02281,2022
MAC FLES,NCRMP_GRP,6,66,0.0545,0.03756,2022
MAD DECA,NCRMP_GRP,6,66,1.5e-4,0.00159,2022
MAG SPE.,NCRMP_GRP,6,66,0.02136,0.01958,2022
MAN AREO,NCRMP_GRP,6,66,0,0,2022
MEA MEAN,NCRMP_GRP,6,66,0,0,2022
MIL SPE.,NCRMP_GRP,6,66,0.0125,0.0181,2022
MON CAVE,NCRMP_GRP,6,66,0.00283,0.00716,2022
MYC ALIC,NCRMP_GRP,6,66,0,0,2022
ORB ANCX,NCRMP_GRP,6,66,0,0,2022
ORB ANNU,NCRMP_GRP,6,66,9.5e-4,0.00368,2022
ORB FAVE,NCRMP_GRP,6,66,0.00808,0.01066,2022
ORB FRAN,NCRMP_GRP,6,66,0,0,2022
OTH CORA,NCRMP_GRP,6,66,0,0,2022
OTH SPE.,NCRMP_GRP,6,66,2.7e-4,0.00197,2022
PAL SPE.,NCRMP_GRP,6,66,0.01057,0.01297,2022
PEY SPE.,NCRMP_GRP,6,66,9.6e-4,0.0037,2022
POR ASTR,NCRMP_GRP,6,66,0.00611,0.01096,2022
POR DIVA,NCRMP_GRP,6,66,0,0,2022
POR PORI,NCRMP_GRP,6,66,0.00557,0.01066,2022
POR SPE.,NCRMP_GRP,6,66,2.7e-4,0.00197,2022
PSE CLIV,NCRMP_GRP,6,66,0,0,2022
PSE STRI,NCRMP_GRP,6,66,0,0,2022
RAM SPE.,NCRMP_GRP,6,66,4e-5,3.8e-4,2022
RHO CRUS,NCRMP_GRP,6,66,0.0078,0.01166,2022
SID RADI,NCRMP_GRP,6,66,0.00381,0.00949,2022
SID SIDE,NCRMP_GRP,6,66,0.02415,0.02026,2022
SOL BOUR,NCRMP_GRP,6,66,0.00125,0.00448,2022
SOL SPE.,NCRMP_GRP,6,66,4.1e-4,0.00241,2022
SPO OTHE,NCRMP_GRP,6,66,0.04914,0.03048,2022
STE INTE,NCRMP_GRP,6,66,0.00605,0.00967,2022
TUR FREE,NCRMP_GRP,6,66,0.01248,0.01208,2022
TUR SEDI,NCRMP_GRP,6,66,0.39758,0.07635,2022
ACR CERV,NCRMP_GRP,6,74,0,0,2024
ACR PALM,NCRMP_GRP,6,74,0,0,2024
AGA AGAR,NCRMP_GRP,6,74,0,0,2024
AGA HUMI,NCRMP_GRP,6,74,0,0,2024
AGA LAMA,NCRMP_GRP,6,74,0,0,2024
AGA SPE.,NCRMP_GRP,6,74,0,0,2024
BAR SUB.,NCRMP_GRP,6,74,0.21831,0.07543,2024
CLI SPE.,NCRMP_GRP,6,74,0.00309,0.00819,2024
COL NATA,NCRMP_GRP,6,74,0,0,2024
CYA SPE.,NCRMP_GRP,6,74,0.01357,0.02235,2024
DIC SPE.,NCRMP_GRP,6,74,0.0828,0.04863,2024
DIC STOK,NCRMP_GRP,6,74,1.8e-4,0.00197,2024
DIP LABY,NCRMP_GRP,6,74,0,0,2024
DIP SPE.,NCRMP_GRP,6,74,0,0,2024
EUS FAST,NCRMP_GRP,6,74,0,0,2024
GOR ENCR,NCRMP_GRP,6,74,0.00817,0.0132,2024
GOR GORG,NCRMP_GRP,6,74,0.01691,0.02173,2024
HAL SPE.,NCRMP_GRP,6,74,0.03862,0.03433,2024
HEL CUCU,NCRMP_GRP,6,74,0,0,2024
ISO SINU,NCRMP_GRP,6,74,0,0,2024
LOB SPE.,NCRMP_GRP,6,74,0.00229,0.00455,2024
MAC CALC,NCRMP_GRP,6,74,0.02074,0.02474,2024
MAC FLES,NCRMP_GRP,6,74,0.07828,0.05308,2024
MAD DECA,NCRMP_GRP,6,74,0,0,2024
MAG SPE.,NCRMP_GRP,6,74,0.01756,0.0169,2024
MAN AREO,NCRMP_GRP,6,74,5e-5,5.2e-4,2024
MEA MEAN,NCRMP_GRP,6,74,0,0,2024
MIL SPE.,NCRMP_GRP,6,74,0.00379,0.01115,2024
MON CAVE,NCRMP_GRP,6,74,0.00368,0.01079,2024
MYC ALIC,NCRMP_GRP,6,74,5e-5,5.5e-4,2024
ORB ANCX,NCRMP_GRP,6,74,0,0,2024
ORB ANNU,NCRMP_GRP,6,74,0,0,2024
ORB FAVE,NCRMP_GRP,6,74,0.00199,0.0062,2024
ORB FRAN,NCRMP_GRP,6,74,0.0011,0.0051,2024
OTH CORA,NCRMP_GRP,6,74,5e-5,5.2e-4,2024
OTH SPE.,NCRMP_GRP,6,74,6.5e-4,0.00543,2024
PAL SPE.,NCRMP_GRP,6,74,0.0086,0.01538,2024
PEY SPE.,NCRMP_GRP,6,74,0.00462,0.00893,2024
POR ASTR,NCRMP_GRP,6,74,0.00185,0.00712,2024
POR DIVA,NCRMP_GRP,6,74,1e-4,7.4e-4,2024
POR PORI,NCRMP_GRP,6,74,0.0018600000000000001,0.00876,2024
POR SPE.,NCRMP_GRP,6,74,0,0,2024
PSE CLIV,NCRMP_GRP,6,74,0,0,2024
PSE STRI,NCRMP_GRP,6,74,2.7e-4,0.00235,2024
RAM SPE.,NCRMP_GRP,6,74,6.7e-4,0.00306,2024
RHO CRUS,NCRMP_GRP,6,74,0.02262,0.02497,2024
SID RADI,NCRMP_GRP,6,74,2.7e-4,0.00235,2024
SID SIDE,NCRMP_GRP,6,74,0.02593,0.02374,2024
SOL BOUR,NCRMP_GRP,6,74,6.4e-4,0.00304,2024
SOL SPE.,NCRMP_GRP,6,74,0,0,2024
SPO OTHE,NCRMP_GRP,6,74,0.08416,0.04467,2024
STE INTE,NCRMP_GRP,6,74,0.00541,0.01137,2024
TUR FREE,NCRMP_GRP,6,74,0.01643,0.01696,2024
TUR SEDI,NCRMP_GRP,6,74,0.31467,0.08066,2024
