YEAR,COVER_CAT_CD,analysis_group,strat_cora,ntot,n,avp,se_p
2022,ACR CERV,MIR_GRP,CFK01,101,8,0,0
2022,ACR PALM,MIR_GRP,CFK01,101,8,0,0
2022,AGA AGAR,MIR_GRP,CFK01,101,8,0,0
2022,AGA HUMI,MIR_GRP,CFK01,101,8,0,0
2022,AGA LAMA,MIR_GRP,CFK01,101,8,0,0
2022,AGA SPE.,MIR_GRP,CFK01,101,8,0,0
2022,BAR SUB.,MIR_GRP,CFK01,101,8,0.12125,0.11839
2022,CLI SPE.,MIR_GRP,CFK01,101,8,0.01125,0.03825
2022,COL NATA,MIR_GRP,CFK01,101,8,0,0
2022,CYA SPE.,MIR_GRP,CFK01,101,8,0,0
2022,DIC SPE.,MIR_GRP,CFK01,101,8,0.04375,0.07418
2022,DIC STOK,MIR_GRP,CFK01,101,8,0,0
2022,DIP LABY,MIR_GRP,CFK01,101,8,0,0
2022,DIP SPE.,MIR_GRP,CFK01,101,8,0,0
2022,EUS FAST,MIR_GRP,CFK01,101,8,0,0
2022,GOR ENCR,MIR_GRP,CFK01,101,8,0.01125,0.03825
2022,GOR GORG,MIR_GRP,CFK01,101,8,0.01625,0.04586
2022,HAL SPE.,MIR_GRP,CFK01,101,8,0.21125,0.14805
2022,HEL CUCU,MIR_GRP,CFK01,101,8,0,0
2022,ISO SINU,MIR_GRP,CFK01,101,8,0,0
2022,LOB SPE.,MIR_GRP,CFK01,101,8,0,0
2022,MAC CALC,MIR_GRP,CFK01,101,8,0.0125,0.0403
2022,MAC FLES,MIR_GRP,CFK01,101,8,0.0025,0.01811
2022,MAD DECA,MIR_GRP,CFK01,101,8,0,0
2022,MAG SPE.,MIR_GRP,CFK01,101,8,0,0
2022,MAN AREO,MIR_GRP,CFK01,101,8,0,0
2022,MEA MEAN,MIR_GRP,CFK01,101,8,0,0
2022,MIL SPE.,MIR_GRP,CFK01,101,8,0,0
2022,MON CAVE,MIR_GRP,CFK01,101,8,0.005,0.02558
2022,MYC ALIC,MIR_GRP,CFK01,101,8,0,0
2022,ORB ANCX,MIR_GRP,CFK01,101,8,0,0
2022,ORB ANNU,MIR_GRP,CFK01,101,8,0.01,0.03609
2022,ORB FAVE,MIR_GRP,CFK01,101,8,0.00375,0.02217
2022,ORB FRAN,MIR_GRP,CFK01,101,8,0,0
2022,OTH CORA,MIR_GRP,CFK01,101,8,0,0
2022,OTH SPE.,MIR_GRP,CFK01,101,8,0.055,0.08269
2022,PAL SPE.,MIR_GRP,CFK01,101,8,0,0
2022,PEY SPE.,MIR_GRP,CFK01,101,8,0,0
2022,POR ASTR,MIR_GRP,CFK01,101,8,0,0
2022,POR DIVA,MIR_GRP,CFK01,101,8,0,0
2022,POR PORI,MIR_GRP,CFK01,101,8,0,0
2022,POR SPE.,MIR_GRP,CFK01,101,8,0,0
2022,PSE CLIV,MIR_GRP,CFK01,101,8,0,0
2022,PSE STRI,MIR_GRP,CFK01,101,8,0.00125,0.01281
2022,RAM SPE.,MIR_GRP,CFK01,101,8,0,0
2022,RHO CRUS,MIR_GRP,CFK01,101,8,0.02625,0.05799
2022,SID RADI,MIR_GRP,CFK01,101,8,0,0
2022,SID SIDE,MIR_GRP,CFK01,101,8,0.00375,0.02217
2022,SOL BOUR,MIR_GRP,CFK01,101,8,0.0025,0.01811
2022,SOL SPE.,MIR_GRP,CFK01,101,8,0,0
2022,SPO OTHE,MIR_GRP,CFK01,101,8,0.015,0.04409
2022,STE INTE,MIR_GRP,CFK01,101,8,0,0
2022,TUR FREE,MIR_GRP,CFK01,101,8,0.26625,0.16031
2022,TUR SEDI,MIR_GRP,CFK01,101,8,0.18125,0.13972
2024,ACR CERV,MIR_GRP,CFK01,101,10,0,0
2024,ACR PALM,MIR_GRP,CFK01,101,10,0,0
2024,AGA AGAR,MIR_GRP,CFK01,101,10,0,0
2024,AGA HUMI,MIR_GRP,CFK01,101,10,0,0
2024,AGA LAMA,MIR_GRP,CFK01,101,10,0,0
2024,AGA SPE.,MIR_GRP,CFK01,101,10,0,0
2024,BAR SUB.,MIR_GRP,CFK01,101,10,0.033,0.05652
2024,CLI SPE.,MIR_GRP,CFK01,101,10,0,0
2024,COL NATA,MIR_GRP,CFK01,101,10,0,0
2024,CYA SPE.,MIR_GRP,CFK01,101,10,0.002,0.01414
2024,DIC SPE.,MIR_GRP,CFK01,101,10,0.003,0.0173
2024,DIC STOK,MIR_GRP,CFK01,101,10,0,0
2024,DIP LABY,MIR_GRP,CFK01,101,10,0,0
2024,DIP SPE.,MIR_GRP,CFK01,101,10,0,0
2024,EUS FAST,MIR_GRP,CFK01,101,10,0,0
2024,GOR ENCR,MIR_GRP,CFK01,101,10,0,0
2024,GOR GORG,MIR_GRP,CFK01,101,10,0,0
2024,HAL SPE.,MIR_GRP,CFK01,101,10,0.217,0.13042
2024,HEL CUCU,MIR_GRP,CFK01,101,10,0,0
2024,ISO SINU,MIR_GRP,CFK01,101,10,0,0
2024,LOB SPE.,MIR_GRP,CFK01,101,10,0,0
2024,MAC CALC,MIR_GRP,CFK01,101,10,0.001,0.01
2024,MAC FLES,MIR_GRP,CFK01,101,10,0.074,0.08282
2024,MAD DECA,MIR_GRP,CFK01,101,10,0,0
2024,MAG SPE.,MIR_GRP,CFK01,101,10,0,0
2024,MAN AREO,MIR_GRP,CFK01,101,10,0,0
2024,MEA MEAN,MIR_GRP,CFK01,101,10,0,0
2024,MIL SPE.,MIR_GRP,CFK01,101,10,0,0
2024,MON CAVE,MIR_GRP,CFK01,101,10,0,0
2024,MYC ALIC,MIR_GRP,CFK01,101,10,0,0
2024,ORB ANCX,MIR_GRP,CFK01,101,10,0,0
2024,ORB ANNU,MIR_GRP,CFK01,101,10,0.01,0.03148
2024,ORB FAVE,MIR_GRP,CFK01,101,10,0.003,0.0173
2024,ORB FRAN,MIR_GRP,CFK01,101,10,0,0
2024,OTH CORA,MIR_GRP,CFK01,101,10,0,0
2024,OTH SPE.,MIR_GRP,CFK01,101,10,0,0
2024,PAL SPE.,MIR_GRP,CFK01,101,10,0,0
2024,PEY SPE.,MIR_GRP,CFK01,101,10,0.029,0.05309
2024,POR ASTR,MIR_GRP,CFK01,101,10,0,0
2024,POR DIVA,MIR_GRP,CFK01,101,10,0,0
2024,POR PORI,MIR_GRP,CFK01,101,10,0,0
2024,POR SPE.,MIR_GRP,CFK01,101,10,0,0
2024,PSE CLIV,MIR_GRP,CFK01,101,10,0,0
2024,PSE STRI,MIR_GRP,CFK01,101,10,0,0
2024,RAM SPE.,MIR_GRP,CFK01,101,10,0.085,0.08824
2024,RHO CRUS,MIR_GRP,CFK01,101,10,0.067,0.07911
2024,SID RADI,MIR_GRP,CFK01,101,10,0.003,0.0173
2024,SID SIDE,MIR_GRP,CFK01,101,10,0.036,0.05894
2024,SOL BOUR,MIR_GRP,CFK01,101,10,0.001,0.01
2024,SOL SPE.,MIR_GRP,CFK01,101,10,0,0
2024,SPO OTHE,MIR_GRP,CFK01,101,10,0.028,0.0522
2024,STE INTE,MIR_GRP,CFK01,101,10,0.003,0.0173
2024,TUR FREE,MIR_GRP,CFK01,101,10,0.058,0.07396
2024,TUR SEDI,MIR_GRP,CFK01,101,10,0.347,0.15061
2022,ACR CERV,MIR_GRP,CFK02,110,12,0,0
2022,ACR PALM,MIR_GRP,CFK02,110,12,0,0
2022,AGA AGAR,MIR_GRP,CFK02,110,12,0,0
2022,AGA HUMI,MIR_GRP,CFK02,110,12,0,0
2022,AGA LAMA,MIR_GRP,CFK02,110,12,0,0
2022,AGA SPE.,MIR_GRP,CFK02,110,12,0,0
2022,BAR SUB.,MIR_GRP,CFK02,110,12,0.10167,0.08601
2022,CLI SPE.,MIR_GRP,CFK02,110,12,0,0
2022,COL NATA,MIR_GRP,CFK02,110,12,0.02417,0.0437
2022,CYA SPE.,MIR_GRP,CFK02,110,12,0.00999,0.0283
2022,DIC SPE.,MIR_GRP,CFK02,110,12,0.16684,0.1061
2022,DIC STOK,MIR_GRP,CFK02,110,12,0,0
2022,DIP LABY,MIR_GRP,CFK02,110,12,0.00385,0.01761
2022,DIP SPE.,MIR_GRP,CFK02,110,12,0,0
2022,EUS FAST,MIR_GRP,CFK02,110,12,0,0
2022,GOR ENCR,MIR_GRP,CFK02,110,12,0.0125,0.03162
2022,GOR GORG,MIR_GRP,CFK02,110,12,0.00417,0.01833
2022,HAL SPE.,MIR_GRP,CFK02,110,12,0.09935,0.08513
2022,HEL CUCU,MIR_GRP,CFK02,110,12,0,0
2022,ISO SINU,MIR_GRP,CFK02,110,12,0,0
2022,LOB SPE.,MIR_GRP,CFK02,110,12,0.02,0.03984
2022,MAC CALC,MIR_GRP,CFK02,110,12,0.00167,0.01161
2022,MAC FLES,MIR_GRP,CFK02,110,12,0.09135,0.08199
2022,MAD DECA,MIR_GRP,CFK02,110,12,0,0
2022,MAG SPE.,MIR_GRP,CFK02,110,12,0,0
2022,MAN AREO,MIR_GRP,CFK02,110,12,0,0
2022,MEA MEAN,MIR_GRP,CFK02,110,12,0,0
2022,MIL SPE.,MIR_GRP,CFK02,110,12,0,0
2022,MON CAVE,MIR_GRP,CFK02,110,12,0.02417,0.0437
2022,MYC ALIC,MIR_GRP,CFK02,110,12,0,0
2022,ORB ANCX,MIR_GRP,CFK02,110,12,0,0
2022,ORB ANNU,MIR_GRP,CFK02,110,12,0.05707,0.06602
2022,ORB FAVE,MIR_GRP,CFK02,110,12,0.05536,0.06508
2022,ORB FRAN,MIR_GRP,CFK02,110,12,0,0
2022,OTH CORA,MIR_GRP,CFK02,110,12,0,0
2022,OTH SPE.,MIR_GRP,CFK02,110,12,0,0
2022,PAL SPE.,MIR_GRP,CFK02,110,12,0,0
2022,PEY SPE.,MIR_GRP,CFK02,110,12,0,0
2022,POR ASTR,MIR_GRP,CFK02,110,12,0.02218,0.04191
2022,POR DIVA,MIR_GRP,CFK02,110,12,0,0
2022,POR PORI,MIR_GRP,CFK02,110,12,0.005,0.02007
2022,POR SPE.,MIR_GRP,CFK02,110,12,0,0
2022,PSE CLIV,MIR_GRP,CFK02,110,12,8.3e-4,0.00821
2022,PSE STRI,MIR_GRP,CFK02,110,12,0,0
2022,RAM SPE.,MIR_GRP,CFK02,110,12,0.0235,0.04311
2022,RHO CRUS,MIR_GRP,CFK02,110,12,0.05749,0.06625
2022,SID RADI,MIR_GRP,CFK02,110,12,0.00167,0.01161
2022,SID SIDE,MIR_GRP,CFK02,110,12,0.07342,0.07423
2022,SOL BOUR,MIR_GRP,CFK02,110,12,8.3e-4,0.00821
2022,SOL SPE.,MIR_GRP,CFK02,110,12,0,0
2022,SPO OTHE,MIR_GRP,CFK02,110,12,0.00582,0.02165
2022,STE INTE,MIR_GRP,CFK02,110,12,0.00833,0.02587
2022,TUR FREE,MIR_GRP,CFK02,110,12,0.09295,0.08263
2022,TUR SEDI,MIR_GRP,CFK02,110,12,0.03583,0.0529
2024,ACR CERV,MIR_GRP,CFK02,110,12,0,0
2024,ACR PALM,MIR_GRP,CFK02,110,12,0,0
2024,AGA AGAR,MIR_GRP,CFK02,110,12,0,0
2024,AGA HUMI,MIR_GRP,CFK02,110,12,0,0
2024,AGA LAMA,MIR_GRP,CFK02,110,12,0,0
2024,AGA SPE.,MIR_GRP,CFK02,110,12,0,0
2024,BAR SUB.,MIR_GRP,CFK02,110,12,0.15167,0.10208
2024,CLI SPE.,MIR_GRP,CFK02,110,12,8.3e-4,0.00821
2024,COL NATA,MIR_GRP,CFK02,110,12,0.00583,0.02167
2024,CYA SPE.,MIR_GRP,CFK02,110,12,0.00833,0.02587
2024,DIC SPE.,MIR_GRP,CFK02,110,12,0.01917,0.03902
2024,DIC STOK,MIR_GRP,CFK02,110,12,0,0
2024,DIP LABY,MIR_GRP,CFK02,110,12,0.00167,0.01161
2024,DIP SPE.,MIR_GRP,CFK02,110,12,0,0
2024,EUS FAST,MIR_GRP,CFK02,110,12,0,0
2024,GOR ENCR,MIR_GRP,CFK02,110,12,0.00167,0.01161
2024,GOR GORG,MIR_GRP,CFK02,110,12,8.3e-4,0.00821
2024,HAL SPE.,MIR_GRP,CFK02,110,12,0.16583,0.10585
2024,HEL CUCU,MIR_GRP,CFK02,110,12,0,0
2024,ISO SINU,MIR_GRP,CFK02,110,12,0,0
2024,LOB SPE.,MIR_GRP,CFK02,110,12,8.3e-4,0.00821
2024,MAC CALC,MIR_GRP,CFK02,110,12,0,0
2024,MAC FLES,MIR_GRP,CFK02,110,12,0.10083,0.08569
2024,MAD DECA,MIR_GRP,CFK02,110,12,0,0
2024,MAG SPE.,MIR_GRP,CFK02,110,12,0.01917,0.03902
2024,MAN AREO,MIR_GRP,CFK02,110,12,0,0
2024,MEA MEAN,MIR_GRP,CFK02,110,12,0,0
2024,MIL SPE.,MIR_GRP,CFK02,110,12,0,0
2024,MON CAVE,MIR_GRP,CFK02,110,12,0.01833,0.03818
2024,MYC ALIC,MIR_GRP,CFK02,110,12,0,0
2024,ORB ANCX,MIR_GRP,CFK02,110,12,0,0
2024,ORB ANNU,MIR_GRP,CFK02,110,12,0.00917,0.02712
2024,ORB FAVE,MIR_GRP,CFK02,110,12,0.06917,0.07221
2024,ORB FRAN,MIR_GRP,CFK02,110,12,0,0
2024,OTH CORA,MIR_GRP,CFK02,110,12,0,0
2024,OTH SPE.,MIR_GRP,CFK02,110,12,0,0
2024,PAL SPE.,MIR_GRP,CFK02,110,12,0,0
2024,PEY SPE.,MIR_GRP,CFK02,110,12,0.01333,0.03264
2024,POR ASTR,MIR_GRP,CFK02,110,12,0.00417,0.01833
2024,POR DIVA,MIR_GRP,CFK02,110,12,0,0
2024,POR PORI,MIR_GRP,CFK02,110,12,8.3e-4,0.00821
2024,POR SPE.,MIR_GRP,CFK02,110,12,0,0
2024,PSE CLIV,MIR_GRP,CFK02,110,12,0,0
2024,PSE STRI,MIR_GRP,CFK02,110,12,0,0
2024,RAM SPE.,MIR_GRP,CFK02,110,12,0.00333,0.0164
2024,RHO CRUS,MIR_GRP,CFK02,110,12,0.00833,0.02587
2024,SID RADI,MIR_GRP,CFK02,110,12,0.00417,0.01833
2024,SID SIDE,MIR_GRP,CFK02,110,12,0.08417,0.07901
2024,SOL BOUR,MIR_GRP,CFK02,110,12,0,0
2024,SOL SPE.,MIR_GRP,CFK02,110,12,0,0
2024,SPO OTHE,MIR_GRP,CFK02,110,12,0.00917,0.02712
2024,STE INTE,MIR_GRP,CFK02,110,12,0.00583,0.02167
2024,TUR FREE,MIR_GRP,CFK02,110,12,0.14,0.09875
2024,TUR SEDI,MIR_GRP,CFK02,110,12,0.15333,0.10254
2022,ACR CERV,MIR_GRP,CFK03,78,7,0,0
2022,ACR PALM,MIR_GRP,CFK03,78,7,0.00143,0.01471
2022,AGA AGAR,MIR_GRP,CFK03,78,7,0.00429,0.02544
2022,AGA HUMI,MIR_GRP,CFK03,78,7,0,0
2022,AGA LAMA,MIR_GRP,CFK03,78,7,0,0
2022,AGA SPE.,MIR_GRP,CFK03,78,7,0,0
2022,BAR SUB.,MIR_GRP,CFK03,78,7,0.00429,0.02544
2022,CLI SPE.,MIR_GRP,CFK03,78,7,0,0
2022,COL NATA,MIR_GRP,CFK03,78,7,0,0
2022,CYA SPE.,MIR_GRP,CFK03,78,7,0,0
2022,DIC SPE.,MIR_GRP,CFK03,78,7,0.11,0.12187
2022,DIC STOK,MIR_GRP,CFK03,78,7,0,0
2022,DIP LABY,MIR_GRP,CFK03,78,7,0,0
2022,DIP SPE.,MIR_GRP,CFK03,78,7,0,0
2022,EUS FAST,MIR_GRP,CFK03,78,7,0,0
2022,GOR ENCR,MIR_GRP,CFK03,78,7,0.00571,0.02936
2022,GOR GORG,MIR_GRP,CFK03,78,7,0.02143,0.0564
2022,HAL SPE.,MIR_GRP,CFK03,78,7,0.05571,0.08934
2022,HEL CUCU,MIR_GRP,CFK03,78,7,0,0
2022,ISO SINU,MIR_GRP,CFK03,78,7,0,0
2022,LOB SPE.,MIR_GRP,CFK03,78,7,0,0
2022,MAC CALC,MIR_GRP,CFK03,78,7,0,0
2022,MAC FLES,MIR_GRP,CFK03,78,7,0.00143,0.01471
2022,MAD DECA,MIR_GRP,CFK03,78,7,0,0
2022,MAG SPE.,MIR_GRP,CFK03,78,7,0,0
2022,MAN AREO,MIR_GRP,CFK03,78,7,0,0
2022,MEA MEAN,MIR_GRP,CFK03,78,7,0,0
2022,MIL SPE.,MIR_GRP,CFK03,78,7,0.00714,0.0328
2022,MON CAVE,MIR_GRP,CFK03,78,7,0,0
2022,MYC ALIC,MIR_GRP,CFK03,78,7,0,0
2022,ORB ANCX,MIR_GRP,CFK03,78,7,0,0
2022,ORB ANNU,MIR_GRP,CFK03,78,7,0.03571,0.07228
2022,ORB FAVE,MIR_GRP,CFK03,78,7,0.02714,0.06329
2022,ORB FRAN,MIR_GRP,CFK03,78,7,0,0
2022,OTH CORA,MIR_GRP,CFK03,78,7,0,0
2022,OTH SPE.,MIR_GRP,CFK03,78,7,0,0
2022,PAL SPE.,MIR_GRP,CFK03,78,7,0.01286,0.04388
2022,PEY SPE.,MIR_GRP,CFK03,78,7,0.00143,0.01471
2022,POR ASTR,MIR_GRP,CFK03,78,7,0.00857,0.03591
2022,POR DIVA,MIR_GRP,CFK03,78,7,0,0
2022,POR PORI,MIR_GRP,CFK03,78,7,0.00286,0.02079
2022,POR SPE.,MIR_GRP,CFK03,78,7,0,0
2022,PSE CLIV,MIR_GRP,CFK03,78,7,0,0
2022,PSE STRI,MIR_GRP,CFK03,78,7,0,0
2022,RAM SPE.,MIR_GRP,CFK03,78,7,0.00143,0.01471
2022,RHO CRUS,MIR_GRP,CFK03,78,7,0.00857,0.03591
2022,SID RADI,MIR_GRP,CFK03,78,7,0,0
2022,SID SIDE,MIR_GRP,CFK03,78,7,0,0
2022,SOL BOUR,MIR_GRP,CFK03,78,7,0,0
2022,SOL SPE.,MIR_GRP,CFK03,78,7,0,0
2022,SPO OTHE,MIR_GRP,CFK03,78,7,0.00571,0.02936
2022,STE INTE,MIR_GRP,CFK03,78,7,0,0
2022,TUR FREE,MIR_GRP,CFK03,78,7,0.49857,0.19475
2022,TUR SEDI,MIR_GRP,CFK03,78,7,0.18571,0.15147
2024,ACR CERV,MIR_GRP,CFK03,78,8,0,0
2024,ACR PALM,MIR_GRP,CFK03,78,8,0,0
2024,AGA AGAR,MIR_GRP,CFK03,78,8,0,0
2024,AGA HUMI,MIR_GRP,CFK03,78,8,0,0
2024,AGA LAMA,MIR_GRP,CFK03,78,8,0,0
2024,AGA SPE.,MIR_GRP,CFK03,78,8,0,0
2024,BAR SUB.,MIR_GRP,CFK03,78,8,0.03625,0.06693
2024,CLI SPE.,MIR_GRP,CFK03,78,8,0,0
2024,COL NATA,MIR_GRP,CFK03,78,8,0,0
2024,CYA SPE.,MIR_GRP,CFK03,78,8,0.005,0.02526
2024,DIC SPE.,MIR_GRP,CFK03,78,8,0.14375,0.12562
2024,DIC STOK,MIR_GRP,CFK03,78,8,0,0
2024,DIP LABY,MIR_GRP,CFK03,78,8,0,0
2024,DIP SPE.,MIR_GRP,CFK03,78,8,0,0
2024,EUS FAST,MIR_GRP,CFK03,78,8,0.00125,0.01265
2024,GOR ENCR,MIR_GRP,CFK03,78,8,0.00125,0.01265
2024,GOR GORG,MIR_GRP,CFK03,78,8,0.05375,0.08075
2024,HAL SPE.,MIR_GRP,CFK03,78,8,0.03125,0.0623
2024,HEL CUCU,MIR_GRP,CFK03,78,8,0,0
2024,ISO SINU,MIR_GRP,CFK03,78,8,0,0
2024,LOB SPE.,MIR_GRP,CFK03,78,8,0,0
2024,MAC CALC,MIR_GRP,CFK03,78,8,0.0075,0.03089
2024,MAC FLES,MIR_GRP,CFK03,78,8,0.04875,0.07711
2024,MAD DECA,MIR_GRP,CFK03,78,8,0,0
2024,MAG SPE.,MIR_GRP,CFK03,78,8,0,0
2024,MAN AREO,MIR_GRP,CFK03,78,8,0,0
2024,MEA MEAN,MIR_GRP,CFK03,78,8,0,0
2024,MIL SPE.,MIR_GRP,CFK03,78,8,0.0075,0.03089
2024,MON CAVE,MIR_GRP,CFK03,78,8,0,0
2024,MYC ALIC,MIR_GRP,CFK03,78,8,0,0
2024,ORB ANCX,MIR_GRP,CFK03,78,8,0,0
2024,ORB ANNU,MIR_GRP,CFK03,78,8,0,0
2024,ORB FAVE,MIR_GRP,CFK03,78,8,0.00375,0.02189
2024,ORB FRAN,MIR_GRP,CFK03,78,8,0,0
2024,OTH CORA,MIR_GRP,CFK03,78,8,0,0
2024,OTH SPE.,MIR_GRP,CFK03,78,8,0,0
2024,PAL SPE.,MIR_GRP,CFK03,78,8,0.025,0.0559
2024,PEY SPE.,MIR_GRP,CFK03,78,8,0.01,0.03563
2024,POR ASTR,MIR_GRP,CFK03,78,8,0.0225,0.0531
2024,POR DIVA,MIR_GRP,CFK03,78,8,0,0
2024,POR PORI,MIR_GRP,CFK03,78,8,0.00375,0.02189
2024,POR SPE.,MIR_GRP,CFK03,78,8,0,0
2024,PSE CLIV,MIR_GRP,CFK03,78,8,0,0
2024,PSE STRI,MIR_GRP,CFK03,78,8,0,0
2024,RAM SPE.,MIR_GRP,CFK03,78,8,0.00375,0.02189
2024,RHO CRUS,MIR_GRP,CFK03,78,8,0.0625,0.08667
2024,SID RADI,MIR_GRP,CFK03,78,8,0.00125,0.01265
2024,SID SIDE,MIR_GRP,CFK03,78,8,0.01125,0.03776
2024,SOL BOUR,MIR_GRP,CFK03,78,8,0,0
2024,SOL SPE.,MIR_GRP,CFK03,78,8,0,0
2024,SPO OTHE,MIR_GRP,CFK03,78,8,0.03125,0.0623
2024,STE INTE,MIR_GRP,CFK03,78,8,0,0
2024,TUR FREE,MIR_GRP,CFK03,78,8,0.23,0.15068
2024,TUR SEDI,MIR_GRP,CFK03,78,8,0.25875,0.15681
2024,ACR CERV,MIR_GRP,CFK04,77,3,0,0
2024,ACR PALM,MIR_GRP,CFK04,77,3,0,0
2024,AGA AGAR,MIR_GRP,CFK04,77,3,0,0
2024,AGA HUMI,MIR_GRP,CFK04,77,3,0,0
2024,AGA LAMA,MIR_GRP,CFK04,77,3,0,0
2024,AGA SPE.,MIR_GRP,CFK04,77,3,0,0
2024,BAR SUB.,MIR_GRP,CFK04,77,3,0.06,0.16462
2024,CLI SPE.,MIR_GRP,CFK04,77,3,0.00333,0.03995
2024,COL NATA,MIR_GRP,CFK04,77,3,0,0
2024,CYA SPE.,MIR_GRP,CFK04,77,3,0,0
2024,DIC SPE.,MIR_GRP,CFK04,77,3,0.21667,0.28558
2024,DIC STOK,MIR_GRP,CFK04,77,3,0,0
2024,DIP LABY,MIR_GRP,CFK04,77,3,0,0
2024,DIP SPE.,MIR_GRP,CFK04,77,3,0,0
2024,EUS FAST,MIR_GRP,CFK04,77,3,0,0
2024,GOR ENCR,MIR_GRP,CFK04,77,3,0.00333,0.03995
2024,GOR GORG,MIR_GRP,CFK04,77,3,0.00333,0.03995
2024,HAL SPE.,MIR_GRP,CFK04,77,3,0,0
2024,HEL CUCU,MIR_GRP,CFK04,77,3,0,0
2024,ISO SINU,MIR_GRP,CFK04,77,3,0,0
2024,LOB SPE.,MIR_GRP,CFK04,77,3,0,0
2024,MAC CALC,MIR_GRP,CFK04,77,3,0.00333,0.03995
2024,MAC FLES,MIR_GRP,CFK04,77,3,0.06333,0.16884
2024,MAD DECA,MIR_GRP,CFK04,77,3,0,0
2024,MAG SPE.,MIR_GRP,CFK04,77,3,0,0
2024,MAN AREO,MIR_GRP,CFK04,77,3,0,0
2024,MEA MEAN,MIR_GRP,CFK04,77,3,0,0
2024,MIL SPE.,MIR_GRP,CFK04,77,3,0,0
2024,MON CAVE,MIR_GRP,CFK04,77,3,0,0
2024,MYC ALIC,MIR_GRP,CFK04,77,3,0,0
2024,ORB ANCX,MIR_GRP,CFK04,77,3,0,0
2024,ORB ANNU,MIR_GRP,CFK04,77,3,0,0
2024,ORB FAVE,MIR_GRP,CFK04,77,3,0,0
2024,ORB FRAN,MIR_GRP,CFK04,77,3,0,0
2024,OTH CORA,MIR_GRP,CFK04,77,3,0,0
2024,OTH SPE.,MIR_GRP,CFK04,77,3,0.00667,0.05641
2024,PAL SPE.,MIR_GRP,CFK04,77,3,0,0
2024,PEY SPE.,MIR_GRP,CFK04,77,3,0.00333,0.03995
2024,POR ASTR,MIR_GRP,CFK04,77,3,0.00333,0.03995
2024,POR DIVA,MIR_GRP,CFK04,77,3,0,0
2024,POR PORI,MIR_GRP,CFK04,77,3,0.00333,0.03995
2024,POR SPE.,MIR_GRP,CFK04,77,3,0,0
2024,PSE CLIV,MIR_GRP,CFK04,77,3,0,0
2024,PSE STRI,MIR_GRP,CFK04,77,3,0,0
2024,RAM SPE.,MIR_GRP,CFK04,77,3,0,0
2024,RHO CRUS,MIR_GRP,CFK04,77,3,0.03333,0.12443
2024,SID RADI,MIR_GRP,CFK04,77,3,0,0
