analysis_group,strat_cora,species_cd,avdns,n,ntot,se_dns,cv_dns,abd,se_abd,avp,se_p
MIR_GRP,CFK01,ACR_CERV,0.0000,12,101,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK02,ACR_CERV,0.0000,16,110,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK03,ACR_CERV,0.0000,7,78,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK05,ACR_CERV,0.0080,25,202,0.0052,64.80,4040,10.471179494,0.08000,0.05184
MIR_GRP,CFK06,ACR_CERV,0.0000,4,109,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK07,ACR_CERV,0.1588,34,339,0.0775,48.77,134602.94118,262.58652463,0.14706,0.05848
NCRMP_GRP,CFK01,ACR_CERV,0.0000,27,4718,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK02,ACR_CERV,0.0101,79,30239,0.0059,57.83,765544.3038,1770.9353835,0.05063,0.02479
NCRMP_GRP,CFK03,ACR_CERV,0.0000,37,15652,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK05,ACR_CERV,0.0000,21,2596,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK06,ACR_CERV,0.0000,19,36727,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK07,ACR_CERV,0.0050,60,15960,0.0050,99.81,199500,796.49858757,0.01667,0.01664
MIR_GRP,CFK01,ACR_PALM,0.0000,12,101,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK02,ACR_PALM,0.0000,16,110,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK03,ACR_PALM,0.0000,7,78,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK05,ACR_PALM,0.0560,25,202,0.0487,86.90,28280,98.301141397,0.08000,0.05184
MIR_GRP,CFK06,ACR_PALM,0.0000,4,109,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK07,ACR_PALM,0.0000,34,339,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK01,ACR_PALM,0.0000,27,4718,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK02,ACR_PALM,0.0000,79,30239,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK03,ACR_PALM,0.0000,37,15652,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK05,ACR_PALM,0.0000,21,2596,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK06,ACR_PALM,0.0000,19,36727,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK07,ACR_PALM,0.0000,60,15960,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK01,COL_NATA,0.0333,12,101,0.0211,63.29,8416.6666667,21.307038719,0.16667,0.10548
MIR_GRP,CFK02,COL_NATA,0.2500,16,110,0.0485,19.39,68750,53.324478432,0.81250,0.09316
MIR_GRP,CFK03,COL_NATA,0.0000,7,78,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK05,COL_NATA,0.0040,25,202,0.0037,93.61,2020,7.5634912573,0.04000,0.03744
MIR_GRP,CFK06,COL_NATA,0.0000,4,109,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK07,COL_NATA,0.0000,34,339,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK01,COL_NATA,0.0667,27,4718,0.0250,37.45,786333.33333,1177.7943508,0.29630,0.08929
NCRMP_GRP,CFK02,COL_NATA,0.0443,79,30239,0.0112,25.28,3349256.3291,3386.6604116,0.25316,0.04917
NCRMP_GRP,CFK03,COL_NATA,0.0165,37,15652,0.0074,44.54,646291.29129,1151.4086724,0.13514,0.05691
NCRMP_GRP,CFK05,COL_NATA,0.0048,21,2596,0.0047,99.59,30904.761905,123.11803234,0.04762,0.04743
NCRMP_GRP,CFK06,COL_NATA,0.0000,19,36727,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK07,COL_NATA,0.0033,60,15960,0.0033,99.81,133000,530.99905838,0.01667,0.01664
MIR_GRP,CFK01,DIP_LABY,0.0000,12,101,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK02,DIP_LABY,0.0813,16,110,0.0210,25.90,22343.75,23.148411573,0.56250,0.11841
MIR_GRP,CFK03,DIP_LABY,0.0143,7,78,0.0136,95.41,2785.7142857,10.631105689,0.14286,0.13630
MIR_GRP,CFK05,DIP_LABY,0.0000,25,202,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK06,DIP_LABY,0.0000,4,109,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK07,DIP_LABY,0.0088,34,339,0.0047,53.08,7477.9411765,15.876521508,0.08824,0.04683
NCRMP_GRP,CFK01,DIP_LABY,0.0148,27,4718,0.0088,59.07,174740.74074,412.89314678,0.11111,0.06146
NCRMP_GRP,CFK02,DIP_LABY,0.0166,79,30239,0.0049,29.75,1254642.0534,1492.9005385,0.13924,0.03915
NCRMP_GRP,CFK03,DIP_LABY,0.0351,37,15652,0.0124,35.21,1374837.8378,1936.2607288,0.21622,0.06853
NCRMP_GRP,CFK05,DIP_LABY,0.0095,21,2596,0.0065,68.64,61809.52381,169.706496,0.09524,0.06537
NCRMP_GRP,CFK06,DIP_LABY,0.0105,19,36727,0.0072,68.70,966500,2655.9671183,0.10526,0.07232
NCRMP_GRP,CFK07,DIP_LABY,0.0050,60,15960,0.0028,56.64,199500,451.99726263,0.05000,0.02832
MIR_GRP,CFK01,EUS_FAST,0.0000,12,101,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK02,EUS_FAST,0.0000,16,110,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK03,EUS_FAST,0.0000,7,78,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK05,EUS_FAST,0.0000,25,202,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK06,EUS_FAST,0.0250,4,109,0.0245,98.15,6812.5,26.745326695,0.25000,0.24537
MIR_GRP,CFK07,EUS_FAST,0.0235,34,339,0.0081,34.29,19941.176471,27.350698545,0.20588,0.06676
NCRMP_GRP,CFK01,EUS_FAST,0.0000,27,4718,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK02,EUS_FAST,0.0068,79,30239,0.0030,43.70,513021.00914,896.74389764,0.06329,0.02753
NCRMP_GRP,CFK03,EUS_FAST,0.0351,37,15652,0.0194,55.32,1374837.8378,3041.996844,0.10811,0.05169
NCRMP_GRP,CFK05,EUS_FAST,0.0000,21,2596,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK06,EUS_FAST,0.0053,19,36727,0.0053,99.97,483250,1932.4999353,0.05263,0.05262
NCRMP_GRP,CFK07,EUS_FAST,0.0233,60,15960,0.0083,35.76,931000,1331.5414796,0.16667,0.04843
MIR_GRP,CFK01,MEA_MEAN,0.0000,12,101,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK02,MEA_MEAN,0.0000,16,110,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK03,MEA_MEAN,0.0000,7,78,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK05,MEA_MEAN,0.0000,25,202,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK06,MEA_MEAN,0.0250,4,109,0.0245,98.15,6812.5,26.745326695,0.25000,0.24537
MIR_GRP,CFK07,MEA_MEAN,0.0000,34,339,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK01,MEA_MEAN,0.0000,27,4718,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK02,MEA_MEAN,0.0013,79,30239,0.0013,99.87,95693.037975,382.27182491,0.01266,0.01264
NCRMP_GRP,CFK03,MEA_MEAN,0.0027,37,15652,0.0027,99.88,105756.75676,422.52673119,0.02703,0.02700
NCRMP_GRP,CFK05,MEA_MEAN,0.0000,21,2596,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK06,MEA_MEAN,0.0000,19,36727,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK07,MEA_MEAN,0.0033,60,15960,0.0023,69.98,133000,372.27746168,0.03333,0.02333
MIR_GRP,CFK01,MON_CAVE,0.0417,12,101,0.0181,43.48,10520.833333,18.298020399,0.33333,0.13342
MIR_GRP,CFK02,MON_CAVE,0.1438,16,110,0.0386,26.88,39531.25,42.506555867,0.62500,0.11555
MIR_GRP,CFK03,MON_CAVE,0.0000,7,78,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK05,MON_CAVE,0.0160,25,202,0.0104,64.80,8080,20.942358988,0.08000,0.05184
MIR_GRP,CFK06,MON_CAVE,0.0250,4,109,0.0245,98.15,6812.5,26.745326695,0.25000,0.24537
MIR_GRP,CFK07,MON_CAVE,0.0235,34,339,0.0081,34.29,19941.176471,27.350698545,0.20588,0.06676
NCRMP_GRP,CFK01,MON_CAVE,0.1889,27,4718,0.0489,25.88,2227944.4444,2305.9918059,0.40741,0.09609
NCRMP_GRP,CFK02,MON_CAVE,0.2889,79,30239,0.0379,13.11,21836619.638,11453.534558,0.69620,0.05200
NCRMP_GRP,CFK03,MON_CAVE,0.1517,37,15652,0.0409,26.96,5934129.1291,6398.7276606,0.48649,0.08320
NCRMP_GRP,CFK05,MON_CAVE,0.0619,21,2596,0.0261,42.24,401761.90476,678.825984,0.28571,0.10061
NCRMP_GRP,CFK06,MON_CAVE,0.0526,19,36727,0.0177,33.66,4832500,6505.7642134,0.36842,0.11367
NCRMP_GRP,CFK07,MON_CAVE,0.1217,60,15960,0.0236,19.41,4854500,3769.1805296,0.53333,0.06483
MIR_GRP,CFK01,PSE_CLIV,0.0167,12,101,0.0105,63.29,4208.3333333,10.65351936,0.16667,0.10548
MIR_GRP,CFK02,PSE_CLIV,0.0063,16,110,0.0058,92.44,1718.75,6.3553619094,0.06250,0.05778
MIR_GRP,CFK03,PSE_CLIV,0.0143,7,78,0.0136,95.41,2785.7142857,10.631105689,0.14286,0.13630
MIR_GRP,CFK05,PSE_CLIV,0.0040,25,202,0.0037,93.61,2020,7.5634912573,0.04000,0.03744
MIR_GRP,CFK06,PSE_CLIV,0.0000,4,109,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK07,PSE_CLIV,0.0000,34,339,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK01,PSE_CLIV,0.0185,27,4718,0.0185,99.71,218425.92593,871.20011671,0.03704,0.03693
NCRMP_GRP,CFK02,PSE_CLIV,0.0089,79,30239,0.0048,54.45,669851.26582,1458.8618055,0.05063,0.02479
NCRMP_GRP,CFK03,PSE_CLIV,0.0000,37,15652,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK05,PSE_CLIV,0.0095,21,2596,0.0065,68.64,61809.52381,169.706496,0.09524,0.06537
NCRMP_GRP,CFK06,PSE_CLIV,0.0000,19,36727,0.0000,0.00,0,0,0.00000,0.00000
NCRMP_GRP,CFK07,PSE_CLIV,0.0000,60,15960,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK01,PSE_STRI,0.0000,12,101,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK02,PSE_STRI,0.0375,16,110,0.0186,49.69,10312.5,20.495426319,0.25000,0.10335
MIR_GRP,CFK03,PSE_STRI,0.0000,7,78,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK05,PSE_STRI,0.0000,25,202,0.0000,0.00,0,0,0.00000,0.00000
MIR_GRP,CFK06,PSE_STRI,0.0500,4,109,0.0491,98.15,13625,53.490653389,0.25000,0.24537
MIR_GRP,CFK07,PSE_STRI,0.0059,34,339,0.0039,66.05,4985.2941176,13.170548707,0.05882,0.03885
NCRMP_GRP,CFK01,PSE_STRI,0.0148,27,4718,0.0069,46.89,174740.74074,327.75940329,0.14815,0.06947
NCRMP_GRP,CFK02,PSE_STRI,0.0203,79,30239,0.0075,37.04,1531088.6076,2268.1681876,0.13924,0.03915
NCRMP_GRP,CFK03,PSE_STRI,0.0270,37,15652,0.0148,54.81,1057567.5676,2318.5559503,0.13514,0.05691
NCRMP_GRP,CFK05,PSE_STRI,0.0048,21,2596,0.0047,99.59,30904.761905,123.11803234,0.04762,0.04743
NCRMP_GRP,CFK06,PSE_STRI,0.0053,19,36727,0.0053,99.97,483250,1932.4999353,0.05263,0.05262
NCRMP_GRP,CFK07,PSE_STRI,0.0100,60,15960,0.0046,45.63,399000,728.33173667,0.08333,0.03591
