analysis_group,SPECIES_CD,n,PVbar,YEAR,SE_PV,cv_PV,PV_LCI,PV_UCI,PV_type
MIR_GRP,ACR CERV,98,0.5573457846,2022,0.1203188372,0.2158782581,0.3183821884,0.7963093807,Disease_all
MIR_GRP,ACR PALM,98,0,2022,0,,0,0,Disease_all
MIR_GRP,AGA AGAR,98,0,2022,0,,0,0,Disease_all
MIR_GRP,AGA FRAG,98,,2022,0,,,,Disease_all
MIR_GRP,AGA HUMI,98,,2022,0,,,,Disease_all
MIR_GRP,AGA LAMA,98,0,2022,0,,0,0,Disease_all
MIR_GRP,AGA SPE.,98,,2022,0,,,,Disease_all
MIR_GRP,CLA ABRU,98,,2022,0,,,,Disease_all
MIR_GRP,COL NATA,98,0,2022,0,,0,0,Disease_all
MIR_GRP,DIC STOK,98,0,2022,0,,0,0,Disease_all
MIR_GRP,DIP LABY,98,0,2022,0,,0,0,Disease_all
MIR_GRP,EUS FAST,98,0,2022,0,,0,0,Disease_all
MIR_GRP,FAV FRAG,98,0,2022,0,,0,0,Disease_all
MIR_GRP,HEL CUCU,98,0,2022,0,,0,0,Disease_all
MIR_GRP,ISO RIGI,98,,2022,0,,,,Disease_all
MIR_GRP,ISO SPE.,98,,2022,0,,,,Disease_all
MIR_GRP,MAD AURE,98,,2022,0,,,,Disease_all
MIR_GRP,MAD DECA,98,0,2022,0,,0,0,Disease_all
MIR_GRP,MAD FORM,98,,2022,0,,,,Disease_all
MIR_GRP,MAD SENA,98,,2022,0,,,,Disease_all
MIR_GRP,MAN AREO,98,,2022,0,,,,Disease_all
MIR_GRP,MEA MEAN,98,0,2022,0,,0,0,Disease_all
MIR_GRP,MON CAVE,98,0.0475933774,2022,0.0984665653,2.0689131718,-0.147969721,0.2431564755,Disease_all
MIR_GRP,MUS ANGU,98,,2022,0,,,,Disease_all
MIR_GRP,MYC ALIC,98,0,2022,0,,0,0,Disease_all
MIR_GRP,MYC FERO,98,,2022,0,,,,Disease_all
MIR_GRP,MYC LAMA,98,,2022,0,,,,Disease_all
MIR_GRP,OCU DIFF,98,0,2022,0,,0,0,Disease_all
MIR_GRP,OCU SPE.,98,0,2022,0,,0,0,Disease_all
MIR_GRP,ORB ANNU,98,0.0931952055,2022,0.0364324304,0.3909260158,0.020837254,0.165553157,Disease_all
MIR_GRP,ORB FAVE,98,0.2735872228,2022,0.0944933048,0.3453863957,0.0859153631,0.4612590825,Disease_all
MIR_GRP,ORB FRAN,98,0,2022,0,,0,0,Disease_all
MIR_GRP,PHY AMER,98,,2022,0,,,,Disease_all
MIR_GRP,POR ASTR,98,0.1324931909,2022,0.0413484232,0.3120796085,0.0503716535,0.2146147284,Disease_all
MIR_GRP,POR BRAN,98,,2022,0,,,,Disease_all
MIR_GRP,POR DIVA,98,,2022,0,,,,Disease_all
MIR_GRP,POR FURC,98,0,2022,0,,0,0,Disease_all
MIR_GRP,POR PORI,98,0.0100431105,2022,0.0066246338,0.6596197252,-0.003113984,0.0232002049,Disease_all
MIR_GRP,POR SPE.,98,,2022,0,,,,Disease_all
MIR_GRP,PSE CLIV,98,0,2022,0,,0,0,Disease_all
MIR_GRP,PSE STRI,98,0,2022,0,,0,0,Disease_all
MIR_GRP,SCO CUBE,98,,2022,0,,,,Disease_all
MIR_GRP,SCO LACE,98,,2022,0,,,,Disease_all
MIR_GRP,SCO SPE.,98,,2022,0,,,,Disease_all
MIR_GRP,SID RADI,98,0,2022,0,,0,0,Disease_all
MIR_GRP,SID SIDE,98,0.2237804339,2022,0.089981649,0.4020979289,0.045069112,0.4024917558,Disease_all
MIR_GRP,SID SPE.,98,,2022,0,,,,Disease_all
MIR_GRP,SOL BOUR,98,0,2022,0,,0,0,Disease_all
MIR_GRP,SOL HYAD,98,,2022,0,,,,Disease_all
MIR_GRP,STE INTE,98,0.1320120057,2022,0.0685153826,0.5190087236,-0.004065458,0.2680894695,Disease_all
NCRMP_GRP,ACR CERV,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,ACR PALM,243,,2022,0,,,,Disease_all
NCRMP_GRP,AGA AGAR,243,0.119021329,2022,0.053204217,0.4470141402,0.014207744,0.223834914,Disease_all
NCRMP_GRP,AGA FRAG,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,AGA HUMI,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,AGA LAMA,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,AGA SPE.,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,CLA ABRU,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,COL NATA,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,DIC STOK,243,0.009120561,2022,0.0099372998,1.0895491749,-0.010456158,0.0286972802,Disease_all
NCRMP_GRP,DIP LABY,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,EUS FAST,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,FAV FRAG,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,HEL CUCU,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,ISO RIGI,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,ISO SPE.,243,,2022,0,,,,Disease_all
NCRMP_GRP,MAD AURE,243,,2022,0,,,,Disease_all
NCRMP_GRP,MAD DECA,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,MAD FORM,243,,2022,0,,,,Disease_all
NCRMP_GRP,MAD SENA,243,,2022,0,,,,Disease_all
NCRMP_GRP,MAN AREO,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,MEA MEAN,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,MON CAVE,243,0.0066354923,2022,0.00832772,1.2550266929,-0.009770316,0.0230413006,Disease_all
NCRMP_GRP,MUS ANGU,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,MYC ALIC,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,MYC FERO,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,MYC LAMA,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,OCU DIFF,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,OCU SPE.,243,,2022,0,,,,Disease_all
NCRMP_GRP,ORB ANNU,243,0.1999562791,2022,0.0992389118,0.4963030532,0.0044532401,0.3954593181,Disease_all
NCRMP_GRP,ORB FAVE,243,0.0362749011,2022,0.01498171,0.4130048461,0.0067605728,0.0657892294,Disease_all
NCRMP_GRP,ORB FRAN,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,PHY AMER,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,POR ASTR,243,0.0654328906,2022,0.0254640004,0.3891620887,0.0152681985,0.1155975827,Disease_all
NCRMP_GRP,POR BRAN,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,POR DIVA,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,POR FURC,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,POR PORI,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,POR SPE.,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,PSE CLIV,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,PSE STRI,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,SCO CUBE,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,SCO LACE,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,SCO SPE.,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,SID RADI,243,0.0890274537,2022,0.0518895012,0.5828483131,-0.01319611,0.1912510169,Disease_all
NCRMP_GRP,SID SIDE,243,1.5516781404,2022,0.279572308,0.1801741616,1.0009139809,2.1024422998,Disease_all
NCRMP_GRP,SID SPE.,243,,2022,0,,,,Disease_all
NCRMP_GRP,SOL BOUR,243,0.0567820622,2022,0.0492737519,0.8677696784,-0.040288412,0.1538525364,Disease_all
NCRMP_GRP,SOL HYAD,243,0,2022,0,,0,0,Disease_all
NCRMP_GRP,STE INTE,243,1.3860066669,2022,0.3811072147,0.2749678077,0.6352163034,2.1367970304,Disease_all
