YEAR,PRIMARY_SAMPLE_UNIT,STATION_NR
2022,9500,1
2022,9500,2
2022,9501,1
2022,9501,2
2022,9502,1
2022,9502,2
2022,9503,1
2022,9503,2
2022,9504,1
2022,9504,2
2022,9505,1
2022,9505,2
2022,9506,1
2022,9506,2
2022,9507,1
2022,9507,2
2022,9508,1
2022,9508,2
2022,9509,1
2022,9509,2
2022,9510,1
2022,9510,2
2022,9511,1
2022,9511,2
2022,9512,1
2022,9512,2
2022,9513,1
2022,9513,2
2022,9514,1
2022,9514,2
2022,9515,1
2022,9515,2
2022,9516,1
2022,9516,2
2022,9517,1
2022,9517,2
2022,9518,1
2022,9518,2
2022,9519,1
2022,9519,2
2022,9520,1
2022,9520,2
2022,9521,1
2022,9521,2
2022,9522,1
2022,9522,2
2022,9523,1
2022,9523,2
2022,9524,1
2022,9524,2
2022,9525,1
2022,9525,2
2022,9526,1
2022,9526,2
2022,9527,1
2022,9527,2
2022,9528,1
2022,9528,2
2022,9529,1
2022,9529,2
2022,9530,1
2022,9530,2
2022,9531,1
2022,9531,2
2022,9532,1
2022,9532,2
2022,9533,1
2022,9533,2
2022,9534,1
2022,9534,2
2022,9535,1
2022,9535,2
2022,9536,1
2022,9536,2
2022,9537,1
2022,9537,2
2022,9538,1
2022,9538,2
2022,9539,1
2022,9539,2
2022,9540,1
2022,9540,2
2022,9541,1
2022,9541,2
2022,9542,1
2022,9542,2
2022,9543,1
2022,9543,2
2022,9544,1
2022,9544,2
2022,9545,1
2022,9545,2
2022,9546,1
2022,9546,2
2022,9547,1
2022,9547,2
2022,9548,1
2022,9548,2
2022,9549,1
2022,9549,2
2022,9550,1
2022,9550,2
2022,9551,1
2022,9551,2
2022,9552,1
2022,9552,2
2022,9553,1
2022,9553,2
2022,9554,1
2022,9554,2
2022,9555,1
2022,9555,2
2022,9556,1
2022,9556,2
2022,9557,1
2022,9557,2
2022,9558,1
2022,9558,2
2022,9559,1
2022,9559,2
2022,9560,1
2022,9560,2
2022,9561,1
2022,9561,2
2022,9562,1
2022,9562,2
2022,9563,1
2022,9563,2
2022,9564,1
2022,9564,2
2022,9565,1
2022,9565,2
2022,9566,1
2022,9566,2
2022,9567,1
2022,9567,2
2022,9568,1
2022,9568,2
2022,9569,1
2022,9569,2
2022,9570,1
2022,9570,2
2022,9571,1
2022,9571,2
2022,9572,1
2022,9572,2
2022,9573,1
2022,9573,2
2022,9574,1
2022,9574,2
2022,9575,1
2022,9575,2
2022,9576,1
2022,9576,2
2022,9577,1
2022,9577,2
2022,9578,1
2022,9578,2
2022,9579,1
2022,9579,2
2022,9580,1
2022,9580,2
2022,9581,1
2022,9581,2
2022,9582,1
2022,9582,2
2022,9583,1
2022,9583,2
2022,9584,1
2022,9584,2
2022,9585,1
2022,9585,2
2022,9586,1
2022,9586,2
2022,9587,1
2022,9587,2
2022,9588,1
2022,9588,2
2022,9589,1
2022,9589,2
2022,9590,1
2022,9590,2
2022,9591,1
2022,9591,2
2022,9592,1
2022,9592,2
2022,9593,1
2022,9593,2
2022,9594,1
2022,9594,2
2022,9595,1
2022,9595,2
2022,9596,1
2022,9596,2
2022,9597,1
2022,9597,2
2022,9598,1
2022,9598,2
2022,9599,1
2022,9599,2
2022,9600,1
2022,9600,2
2022,9601,1
2022,9601,2
2022,9602,1
2022,9602,2
2022,9603,1
2022,9603,2
2022,9604,1
2022,9604,2
2022,9605,1
2022,9605,2
2022,9606,1
2022,9606,2
2022,9607,1
2022,9607,2
2022,9608,1
2022,9608,2
2022,9609,1
2022,9609,2
2022,9610,1
2022,9610,2
2022,9611,1
2022,9611,2
2022,9612,1
2022,9612,2
2022,9613,1
2022,9613,2
2022,9614,1
2022,9614,2
2022,9615,1
2022,9615,2
2022,9616,1
2022,9616,2
2022,9617,1
2022,9617,2
2022,9618,1
2022,9618,2
2022,9619,1
2022,9619,2
2022,9620,1
2022,9620,2
2022,9621,1
2022,9621,2
2022,9622,1
2022,9622,2
2022,9623,1
2022,9623,2
2022,9624,1
2022,9624,2
2022,9625,1
2022,9625,2
2022,9626,1
2022,9626,2
2022,9627,1
2022,9627,2
2022,9628,1
2022,9628,2
2022,9629,1
2022,9629,2
2022,9630,1
2022,9630,2
2022,9631,1
2022,9631,2
2022,9632,1
2022,9632,2
2022,9633,1
2022,9633,2
2022,9634,1
2022,9634,2
2022,9635,1
2022,9635,2
2022,9636,1
2022,9636,2
2022,9637,1
2022,9637,2
2022,9638,1
2022,9638,2
2022,9639,1
2022,9639,2
2022,9640,1
2022,9640,2
2022,9641,1
2022,9641,2
2022,9642,1
2022,9642,2
2022,9643,1
2022,9643,2
2022,9644,1
2022,9644,2
2022,9645,1
2022,9645,2
2022,9646,1
2022,9646,2
2022,9647,1
2022,9647,2
2022,9648,1
2022,9648,2
2022,9649,1
2022,9649,2
2022,9650,1
2022,9650,2
2022,9651,1
2022,9651,2
2022,9652,1
2022,9652,2
2022,9653,1
2022,9653,2
2022,9654,1
2022,9654,2
2022,9655,1
2022,9655,2
2022,9656,1
2022,9656,2
2022,9657,1
2022,9657,2
2022,9658,1
2022,9658,2
2022,9659,1
2022,9659,2
2022,9660,1
2022,9660,2
2022,9661,1
2022,9661,2
2022,9662,1
2022,9662,2
2022,9663,1
2022,9663,2
2022,9664,1
2022,9664,2
2022,9665,1
2022,9665,2
2022,9666,1
2022,9666,2
2022,9667,1
2022,9667,2
2022,9668,1
2022,9668,2
2022,9669,1
2022,9669,2
2022,9670,1
2022,9670,2
2022,9671,1
2022,9671,2
2022,9672,1
2022,9672,2
2022,9673,1
2022,9673,2
2022,9674,1
2022,9674,2
2022,9675,1
2022,9675,2
2022,9676,1
2022,9676,2
2022,9677,1
2022,9677,2
2022,9678,1
2022,9678,2
2022,9679,1
2022,9679,2
2022,9680,1
2022,9680,2
2022,9681,1
2022,9681,2
2022,9682,1
2022,9682,2
2022,9683,1
2022,9683,2
2022,9684,1
2022,9684,2
2022,9685,1
2022,9685,2
2022,9686,1
2022,9686,2
2022,9687,1
2022,9687,2
2022,9688,1
2022,9688,2
2022,9689,1
2022,9689,2
2022,9690,1
2022,9690,2
2022,9691,1
2022,9691,2
2022,9692,1
2022,9692,2
2022,9693,1
2022,9693,2
2022,9694,1
2022,9694,2
2022,9695,1
2022,9695,2
2022,9696,1
2022,9696,2
2022,9697,1
2022,9697,2
2022,9698,1
2022,9698,2
2022,9699,1
2022,9699,2
2022,9700,1
2022,9700,2
2022,9701,1
2022,9701,2
2022,9702,1
2022,9702,2
2022,9703,1
2022,9703,2
2022,9704,1
2022,9704,2
2022,9705,1
2022,9705,2
2022,9706,1
2022,9706,2
2022,9707,1
2022,9707,2
2022,9708,1
2022,9708,2
2022,9709,1
2022,9709,2
2022,9710,1
2022,9710,2
2022,9711,1
2022,9711,2
2022,9712,1
2022,9712,2
2022,9713,1
2022,9713,2
2022,9714,1
2022,9714,2
2022,9715,1
2022,9715,2
2022,9716,1
2022,9716,2
2022,9717,1
2022,9717,2
